full_name,e,a,i,om,w,per,ma
1 Ceres (A801 AA),0.0792,2.767,10.59,80.25,73.29,1.68e+03,145.85
2 Pallas (A802 FA),0.2304,2.77,34.92,172.91,310.89,1.68e+03,126.07
3 Juno (A804 RA),0.2561,2.67,12.99,169.84,247.82,1.59e+03,127.33
4 Vesta (A807 FA),0.0900,2.361,7.14,103.70,151.68,1.33e+03,278.02
5 Astraea (A845 XA),0.1873,2.576,5.36,141.46,359.26,1.51e+03,38.64
6 Hebe (A847 NA),0.2024,2.426,14.73,138.62,239.65,1.38e+03,248.27
7 Iris (A847 PA),0.2299,2.386,5.52,259.50,145.52,1.35e+03,314.76
8 Flora (A847 UA),0.1566,2.201,5.89,110.85,285.43,1.19e+03,78.15
9 Metis (A848 HA),0.1228,2.386,5.58,68.87,5.77,1.35e+03,92.38
10 Hygiea (A849 GA),0.1104,3.141,3.83,283.15,312.63,2.03e+03,145.94
11 Parthenope (A850 JA),0.0994,2.453,4.63,125.51,196.07,1.4e+03,71.50
12 Victoria (A850 RA),0.2201,2.334,8.37,235.36,69.55,1.3e+03,326.36
13 Egeria (A850 VA),0.0854,2.578,16.53,43.21,79.22,1.51e+03,305.55
14 Irene (A851 KA),0.1630,2.59,9.13,86.01,98.05,1.52e+03,278.47
15 Eunomia (A851 OA),0.1876,2.644,11.76,292.89,98.77,1.57e+03,21.75
16 Psyche (A852 FA),0.1341,2.922,3.10,150.02,229.59,1.82e+03,321.87
17 Thetis (A852 HA),0.1322,2.471,5.59,125.53,135.69,1.42e+03,91.44
18 Melpomene (A852 MA),0.2183,2.295,10.13,150.34,228.05,1.27e+03,113.87
19 Fortuna (A852 QA),0.1575,2.442,1.57,211.04,182.67,1.39e+03,353.08
20 Massalia (A852 SA),0.1437,2.408,0.71,205.98,257.46,1.36e+03,284.31
21 Lutetia (A852 VA),0.1647,2.434,3.06,80.84,250.03,1.39e+03,142.87
22 Kalliope (A852 WA),0.0989,2.911,13.70,65.97,358.00,1.81e+03,231.49
23 Thalia (A852 XA),0.2311,2.629,10.11,66.49,61.59,1.56e+03,77.78
24 Themis (A853 GA),0.1153,3.143,0.74,36.39,108.96,2.04e+03,346.13
25 Phocaea (A853 GB),0.2542,2.4,21.61,214.09,90.20,1.36e+03,343.19
26 Proserpina (A853 JA),0.0882,2.658,3.56,45.75,195.11,1.58e+03,199.48
27 Euterpe (A853 VA),0.1714,2.348,1.58,94.77,356.48,1.31e+03,163.43
28 Bellona (A854 EA),0.1493,2.778,9.42,144.16,343.39,1.69e+03,340.34
29 Amphitrite (A854 EB),0.0736,2.554,6.08,356.26,62.01,1.49e+03,48.40
30 Urania (A854 OA),0.1269,2.366,2.09,307.40,87.10,1.33e+03,211.29
31 Euphrosyne (A854 RA),0.2160,3.16,26.32,30.80,61.86,2.05e+03,77.86
32 Pomona (A854 UA),0.0816,2.587,5.52,220.36,338.15,1.52e+03,146.94
33 Polyhymnia (A854 UB),0.3317,2.873,1.85,8.43,338.65,1.78e+03,26.28
34 Circe (A855 GA),0.1068,2.686,5.50,184.33,329.83,1.61e+03,215.23
35 Leukothea (A855 HA),0.2188,3.01,7.86,353.27,214.69,1.91e+03,234.16
36 Atalante (A855 TA),0.3065,2.746,18.37,358.18,47.84,1.66e+03,12.80
37 Fides (A855 TB),0.1750,2.642,3.07,7.24,62.20,1.57e+03,81.20
38 Leda (A856 AA),0.1509,2.742,6.95,295.50,169.65,1.66e+03,79.10
39 Laetitia (A856 CA),0.1120,2.768,10.37,156.93,209.96,1.68e+03,8.48
40 Harmonia (A856 FA),0.0461,2.267,4.26,94.16,269.36,1.25e+03,325.29
